('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         770088 function calls (745963 primitive calls) in 2.028 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      195    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        1    0.000    0.000    0.003    0.003 _models.py:641(text)
  212/149    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
      250    0.000    0.000    0.005    0.000 _decoders.py:95(decode)
      427    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
        8    0.000    0.000    0.000    0.000 inspect.py:2366(_signature_from_function)
      649    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.004    0.004 _urlparse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        6    0.000    0.000    0.000    0.000 typing.py:2786(<genexpr>)
        1    0.000    0.000    0.067    0.067 _client.py:1(<module>)
      209    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      428    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      265    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      446    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      342    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
      311    0.000    0.000    0.000    0.000 types.py:192(__init__)
      584    0.000    0.000    0.000    0.000 _receivebuffer.py:60(__len__)
      194    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
       28    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      390    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
    51/21    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      612    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       18    0.000    0.000    0.002    0.000 dataclasses.py:568(_init_fn)
        8    0.000    0.000    0.000    0.000 typing.py:1966(__init_subclass__)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      185    0.000    0.000    0.007    0.000 _parser.py:98(closegroup)
      292    0.000    0.000    0.000    0.000 _receivebuffer.py:57(__bool__)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
        2    0.000    0.000    0.006    0.003 _sockets.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dammit.py:734(UnicodeDammit)
       28    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        3    0.000    0.000    0.002    0.001 typing.py:2780(__new__)
      387    0.000    0.000    0.000    0.000 element.py:2160(get)
      501    0.000    0.000    0.000    0.000 _decoders.py:237(decode)
    74/57    0.000    0.000    0.088    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      123    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      309    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      106    0.000    0.000    0.000    0.000 dataclasses.py:864(_set_new_attribute)
       81    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      256    0.000    0.000    0.000    0.000 _state.py:301(_fire_event_triggered_transitions)
        1    0.000    0.000    0.003    0.003 css_types.py:1(<module>)
       70    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
      454    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
